code,name,date,open,high,low,close,volume,amount,daily_return,outlier
601857,中国石油,2020-01-02,4.37042316,4.38533928,4.35550704,4.37788122,72808500,427014028.0,,0
601857,中国石油,2020-01-03,4.37788122,4.46737794,4.37042316,4.4375457,119856782,712671271.0,1.3628620102214661,0
601857,中国石油,2020-01-06,4.49721018,4.68366168,4.48975212,4.64637138,301646128,1859195864.0,4.70588235294116,1
601857,中国石油,2020-01-07,4.60162302,4.60162302,4.52704242,4.55687466,152681755,931508895.0,-1.9261637239165297,0
601857,中国石油,2020-01-08,4.66874556,4.6985778,4.5867069,4.64637138,215451333,1337592338.0,1.9639934533551395,0
601857,中国石油,2020-01-09,4.50466824,4.53450048,4.474836,4.51958436,159983683,966146262.0,-2.72873194221509,0
601857,中国石油,2020-01-10,4.50466824,4.50466824,4.44500376,4.46737794,92130621,551691385.0,-1.1551155115511413,0
601857,中国石油,2020-01-13,4.46737794,4.46737794,4.42262958,4.45246182,55118392,327829650.0,-0.33388981636061077,0
601857,中国石油,2020-01-14,4.4375457,4.45991988,4.43008764,4.4375457,44480419,265271834.0,-0.3350083752093669,0
601857,中国石油,2020-01-15,4.4375457,4.45246182,4.37042316,4.37788122,72014546,424495017.0,-1.3445378151260567,0
601857,中国石油,2020-01-16,4.38533928,4.39279734,4.33313286,4.34804898,57860992,337630232.0,-0.6814310051107331,0
601857,中国石油,2020-01-17,4.35550704,4.37788122,4.34804898,4.35550704,36667641,214376983.0,0.17152658662094034,0
601857,中国石油,2020-01-20,4.3629651,4.37042316,4.33313286,4.3629651,53408389,311510573.0,0.1712328767123239,0
601857,中国石油,2020-01-21,4.3629651,4.3629651,4.31075868,4.31821674,56028546,324824586.0,-1.025641025641022,0
601857,中国石油,2020-01-22,4.29584256,4.30330062,4.25855226,4.28092644,66239738,379676573.0,-0.863557858376518,0
601857,中国石油,2020-01-23,4.2510942,4.26601032,4.19142972,4.20634584,81444447,460859100.0,-1.7421602787456414,0
601857,中国石油,2020-02-03,3.83344284,3.94531374,3.78869448,3.82598478,227093729,1167352624.0,-9.042553191489356,1
601857,中国石油,2020-02-04,3.78123642,3.87073314,3.77377836,3.85581702,106459420,547645930.0,0.7797270955165692,0
601857,中国石油,2020-02-05,3.85581702,3.93039762,3.82598478,3.88564926,102318674,532964335.0,0.7736943907156624,0
601857,中国石油,2020-02-06,3.9154815,3.94531374,3.88564926,3.93039762,86647363,455310305.0,1.151631477927051,0
601857,中国石油,2020-02-07,3.90802344,3.93785568,3.88564926,3.93785568,61128263,319828128.0,0.189753320683117,0
601857,中国石油,2020-02-10,3.90802344,3.94531374,3.89310732,3.93785568,56130919,295251828.0,0.0,0
601857,中国石油,2020-02-11,3.93039762,3.98260404,3.92293956,3.9527718,71171722,377281439.0,0.37878787878786735,0
601857,中国石油,2020-02-12,3.94531374,3.96768792,3.93785568,3.96022986,54500038,288657741.0,0.18867924528302993,0
601857,中国石油,2020-02-13,3.97514598,3.9900621,3.93785568,3.93785568,53568587,284224188.0,-0.5649717514124242,0
601857,中国石油,2020-02-14,3.92293956,3.9527718,3.9154815,3.93785568,47917020,252872541.0,0.0,0
601857,中国石油,2020-02-17,3.94531374,4.01243628,3.93039762,4.01243628,84392095,450155266.0,1.8939393939394034,0
601857,中国石油,2020-02-18,4.01243628,4.01243628,3.97514598,3.9900621,74201915,396980717.0,-0.5576208178438735,0
601857,中国石油,2020-02-19,3.9900621,3.99752016,3.96768792,3.97514598,74189083,395688944.0,-0.37383177570092796,0
601857,中国石油,2020-02-20,3.9900621,4.01243628,3.96768792,4.01243628,105637160,564952420.0,0.9380863039399667,0
601857,中国石油,2020-02-21,3.9900621,4.01243628,3.98260404,4.00497822,113816298,609926963.0,-0.18587360594796154,0
601857,中国石油,2020-02-24,3.98260404,3.98260404,3.93039762,3.93785568,138156164,731039952.0,-1.6759776536312776,0
601857,中国石油,2020-02-25,3.8781912,3.89310732,3.8409009,3.87073314,150412876,779444089.0,-1.7045454545454586,0
601857,中国石油,2020-02-26,3.8409009,3.90802344,3.81852672,3.89310732,160220097,833178213.0,0.5780346820809301,0
601857,中国石油,2020-02-27,3.8781912,3.88564926,3.84835896,3.85581702,136252257,705610730.0,-0.9578544061302652,0
601857,中国石油,2020-02-28,3.81106866,3.83344284,3.77377836,3.78123642,209149489,1064602676.0,-1.934235976789167,0
601857,中国石油,2020-03-02,3.81106866,3.86327508,3.8036106,3.85581702,139114686,716386394.0,1.9723865877712132,0
601857,中国石油,2020-03-03,3.90056538,3.90802344,3.85581702,3.87073314,125035559,650013359.0,0.3868471953578423,0
601857,中国石油,2020-03-04,3.86327508,3.87073314,3.8409009,3.86327508,89700352,463382133.0,-0.19267822736029894,0
601857,中国石油,2020-03-05,3.8781912,3.9154815,3.86327508,3.9154815,153980518,803908182.0,1.3513513513513375,0
601857,中国石油,2020-03-06,3.8781912,3.89310732,3.85581702,3.8781912,109633592,569531778.0,-0.952380952380949,0
601857,中国石油,2020-03-09,3.77377836,3.90802344,3.74394612,3.8409009,226621865,1158158211.0,-0.9615384615384581,0
601857,中国石油,2020-03-10,3.8036106,3.84835896,3.77377836,3.8409009,135358732,691745637.0,0.0,0
601857,中国石油,2020-03-11,3.8409009,3.85581702,3.81106866,3.81852672,85888083,441412574.0,-0.5825242718446533,0
